Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Setembro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Outubro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Novembro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;2023;Dezembro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Fevereiro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Março;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Junho;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Agosto;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Setembro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Outubro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Novembro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;2023;Dezembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Janeiro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Fevereiro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Março;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Abril;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Maio;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Junho;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Julho;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Agosto;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Setembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Outubro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Novembro;0
Monte Carmelo;Coordenação do Curso de Graduação em Engenharia de Agrimensura e Cartográfica - Monte Carmelo;2023;Dezembro;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Fevereiro;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Março;1
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Junho;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Agosto;0
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;2023;Setembro;0
