Cidade,Campus/Unidade,Mês,Ano,Quantidade em m³
Uberlândia,Santa Mônica,Outubro,2023,8195
Uberlândia,Santa Mônica,Novembro,2023,7631
Uberlândia,Santa Mônica,Dezembro,2023,8815
Uberlândia,Umuarama,Janeiro,2023,5554
Uberlândia,Umuarama,Fevereiro,2023,4892
Uberlândia,Umuarama,Março,2023,4805
Uberlândia,Umuarama,Abril,2023,4432
Uberlândia,Umuarama,Maio,2023,4763
Uberlândia,Umuarama,Junho,2023,4908
Uberlândia,Umuarama,Julho,2023,5303
Uberlândia,Umuarama,Agosto,2023,4962
Uberlândia,Umuarama,Setembro,2023,5044
Uberlândia,Umuarama,Outubro,2023,5322
Uberlândia,Umuarama,Novembro,2023,6172
Uberlândia,Umuarama,Dezembro,2023,7324
